filename|id|source-name|source-partition-id|ref-type|ref-scope|text|context|alias|partition|doc-type|authority|region|city|detached-city|section|ministry|other-authority|eu-acronym|number|year|full-number|case-number|area|doc-date|deposit-date|notification-date|publication-date|applicant|defendant|ro-number|rv-number|gu-series|url|cited-doc-simple-id|cited-art-simple-id|cited-comma-simple-id
Sentenza_U91_11131_2023.json|6|||legislation|nazionale|art. 43 del DPR n. 600/1973|art. 43 del DPR n. 600/1973||articolo-43|DECR|PRES_REP||||||||600|1973|||||||||||||http://www.normattiva.it/uri-res/N2Ls?urn:nir:presidente.repubblica:decreto:1973;600~art43|presidente.repubblica:decreto:1973;600|presidente.repubblica:decreto:1973;600_articolo-43|
Sentenza_U91_485_2022.json|1|||caselaw|nazionale|Sentenza n. 485/2022 Depositato il 18/01/2022|Sentenza n. 485/2022 Depositato il 18/01/2022|||SENT|TRIB||||||||485|2022|||||2022-01-18|||||||||||
Sentenza_U91_485_2022.json|2|||caselaw|nazionale|sentenza della CTP di Roma n. 581/2020, depositata il 17/01/2020|sentenza della CTP di Roma n. 581/2020, depositata il 17/01/2020|||SENT|COMM_TRIBUT_PROV||RM||||||581|2020|||||2020-01-17|||||||||||
Sentenza_U91_485_2022.json|3|||legislation|nazionale|art. 14, comma 3 bis, del D.P.R. n. 115 del 2002|art. 14, comma 3 bis, del D.P.R. n. 115 del 2002||articolo-14_comma-3-bis|DECR|PRES_REP||||||||115|2002|||||||||||||http://www.normattiva.it/uri-res/N2Ls?urn:nir:presidente.repubblica:decreto:2002;115~art14-comma3bis|presidente.repubblica:decreto:2002;115|presidente.repubblica:decreto:2002;115_articolo-14|presidente.repubblica:decreto:2002;115_articolo-14_comma-3-bis
Sentenza_U91_5452_2021.json|1|||caselaw|nazionale|2019 Sentenza n. 5452/2021 Depositato il 12/05/2021|2019 Sentenza n. 5452/2021 Depositato il 12/05/2021|||SENT|COMM_TRIBUT_PROV||RM||17||||5452|2019|||||2021-05-12|||||||||||
Sentenza_U91_5452_2021.json|2|||legislation|nazionale|art. 38 bis dpr 633/72|dell'art. 38 bis dpr 633/72||articolo-38-bis|DECR|PRES_REP||||||||633|1972|||||||||||||http://www.normattiva.it/uri-res/N2Ls?urn:nir:presidente.repubblica:decreto:1972;633~art38bis|presidente.repubblica:decreto:1972;633|presidente.repubblica:decreto:1972;633_articolo-38-bis|
Sentenza_U91_5452_2021.json|3|||legislation|nazionale|art. 69 r.d. 2440/1923|art. 69 r.d. 2440/1923||articolo-69|DECR|RE||||||||2440|1923|||||||||||||http://www.normattiva.it/uri-res/N2Ls?urn:nir:re:decreto:1923;2440~art69|re:decreto:1923;2440|re:decreto:1923;2440_articolo-69|
Sentenza_U91_5452_2021.json|4|||legislation|nazionale|art. 23 d. leg.vo 472/97|art. 23 d. leg.vo 472/97||articolo-23|DLGS|||||||||472|1997|||||||||||||http://www.normattiva.it/uri-res/N2Ls?urn:nir:stato:decreto.legislativo:1997;472~art23|decreto.legislativo:1997;472|decreto.legislativo:1997;472_articolo-23|
Sentenza_U91_5452_2021.json|5|||legislation|nazionale|art. 38 bis dpr 633/72|dell'art. 38 bis dpr 633/72||articolo-38-bis|DECR|PRES_REP||||||||633|1972|||||||||||||http://www.normattiva.it/uri-res/N2Ls?urn:nir:presidente.repubblica:decreto:1972;633~art38bis|presidente.repubblica:decreto:1972;633|presidente.repubblica:decreto:1972;633_articolo-38-bis|
Sentenza_U91_5452_2021.json|6|||caselaw|nazionale|Cass. n. 25893/2017|Cass. n. 25893/2017, Cass. n. 5349/2015 e Cass n. 9853/2011||||CORTE_CASS||||||||25893|2017||||||||||||||||
Sentenza_U91_5452_2021.json|7|||caselaw|nazionale|Cass. n. 5349/2015|Cass. n. 25893/2017, Cass. n. 5349/2015 e Cass n. 9853/2011||||CORTE_CASS||||||||5349|2015||||||||||||||||
Sentenza_U91_5452_2021.json|8|||caselaw|nazionale|Cass n. 9853/2011|Cass. n. 25893/2017, Cass. n. 5349/2015 e Cass n. 9853/2011||||CORTE_CASS||||||||9853|2011||||||||||||||||
Sentenza_U91_5452_2021.json|9|||legislation|nazionale|art. 19 del decreto legislativo 546/92|art. 19 del decreto legislativo 546/92||articolo-19|DLGS|||||||||546|1992|||||||||||||http://www.normattiva.it/uri-res/N2Ls?urn:nir:stato:decreto.legislativo:1992;546~art19|decreto.legislativo:1992;546|decreto.legislativo:1992;546_articolo-19|
Sentenza_U91_5452_2021.json|10|||legislation|nazionale|art. 23 dlgs. 472/1997|art. 23 dlgs. 472/1997||articolo-23|DLGS|||||||||472|1997|||||||||||||http://www.normattiva.it/uri-res/N2Ls?urn:nir:stato:decreto.legislativo:1997;472~art23|decreto.legislativo:1997;472|decreto.legislativo:1997;472_articolo-23|
